lam,LB,n1,fold,window,min_n1,failed
0.3,252,0.4,5,11,0.07828961071349122,False
0.3,252,0.4,6,0,0.10403939958280822,False
0.3,252,0.4,6,1,0.11934731598014828,False
0.3,252,0.4,6,2,0.1318926126028822,False
0.3,252,0.4,6,3,0.13997414264168923,False
0.3,252,0.4,6,4,0.10863548481728834,False
0.3,252,0.4,6,5,0.11795942305702407,False
0.3,252,0.4,6,6,0.0884783216476944,False
0.3,252,0.4,6,7,0.12580101172015815,False
0.3,252,0.4,6,8,0.0829945946955646,False
0.3,252,0.4,6,9,0.13408154613978007,False
0.3,252,0.4,6,10,0.0985095734079391,False
0.3,252,0.4,6,11,0.07243880133404666,False
0.3,252,0.4,7,0,0.04497441641316289,False
0.3,252,0.4,7,1,0.05239905015469347,False
0.3,252,0.4,7,2,0.03491986848495009,False
0.3,252,0.4,7,3,0.06019371249334702,False
0.3,252,0.4,7,4,0.037142341812744166,False
0.3,252,0.4,7,5,0.03847907306587559,False
0.3,252,0.4,7,6,0.06622000293110103,False
0.3,252,0.4,7,7,0.075691520571188,False
0.3,252,0.4,7,8,0.04423146474074291,False
0.3,252,0.4,7,9,0.028469216710484517,False
0.3,252,0.4,7,10,0.043331145739807564,False
0.3,252,0.4,7,11,0.06417685385954915,False
0.3,252,0.4,7,12,0.029580685028493228,False
0.3,252,0.4,8,0,0.08093339004158683,False
0.3,252,0.4,8,1,0.09612042476114771,False
0.3,252,0.4,8,2,0.11449427869551028,False
0.3,252,0.4,8,3,0.12720461993219118,False
0.3,252,0.4,8,4,0.16012119166300223,False
0.3,252,0.4,8,5,0.10837637967641334,False
0.3,504,0.1,1,0,0.04085163666468796,False
0.3,504,0.1,1,1,0.06107347586474532,False
0.3,504,0.1,1,2,0.04447946422015159,False
0.3,504,0.1,1,3,0.046008847356284,False
0.3,504,0.1,1,4,0.038576079702180126,False
0.3,504,0.1,1,5,0.033243433551772596,False
0.3,504,0.1,1,6,0.03364446787955591,False
0.3,504,0.1,1,7,0.04308173805072782,False
0.3,504,0.1,1,8,0.041766358947960464,False
0.3,504,0.1,1,9,0.03910864903253521,False
0.3,504,0.1,1,10,0.046542822666670744,False
0.3,504,0.1,1,11,0.02963924535642488,False
0.3,504,0.1,2,0,0.02734433539468166,False
0.3,504,0.1,2,1,0.04470288397791862,False
0.3,504,0.1,2,2,0.06984359160604965,False
0.3,504,0.1,2,3,0.0373838199762736,False
0.3,504,0.1,2,4,0.034259457222245486,False
0.3,504,0.1,2,5,0.04146697669573177,False
0.3,504,0.1,2,6,0.046979849948849295,False
0.3,504,0.1,2,7,0.04107846646568122,False
0.3,504,0.1,2,8,0.048283399978076534,False
0.3,504,0.1,2,9,0.036885490921295234,False
0.3,504,0.1,2,10,0.032266635424417295,False
0.3,504,0.1,2,11,0.024641606530616186,False
0.3,504,0.1,2,12,0.04888814315788542,False
0.3,504,0.1,3,0,0.041358073634799965,False
0.3,504,0.1,3,1,0.0509447764520926,False
0.3,504,0.1,3,2,0.04753981141766902,False
0.3,504,0.1,3,3,0.07215876909610018,False
0.3,504,0.1,3,4,0.06283752233105341,False
0.3,504,0.1,3,5,0.07407593189383944,False
0.3,504,0.1,3,6,0.038961441413072194,False
0.3,504,0.1,3,7,0.0533182467239641,False
0.3,504,0.1,3,8,0.0723091587366516,False
0.3,504,0.1,3,9,0.05065830861028753,False
0.3,504,0.1,3,10,0.0781248387233589,False
0.3,504,0.1,3,11,0.06152563811508271,False
0.3,504,0.1,3,12,0.11310059178504667,True
0.3,504,0.1,4,0,0.02590402557977649,False
0.3,504,0.1,4,1,0.04687698262222767,False
0.3,504,0.1,4,2,0.04687656772244841,False
0.3,504,0.1,4,3,0.045210040442481024,False
0.3,504,0.1,4,4,0.024961674502118957,False
0.3,504,0.1,4,5,0.022528134403966,False
0.3,504,0.1,4,6,0.0335338610534351,False
0.3,504,0.1,4,7,0.06407668235854148,False
0.3,504,0.1,4,8,0.061458931615875255,False
0.3,504,0.1,4,9,0.05730802752643516,False
0.3,504,0.1,4,10,0.02612604121451761,False
0.3,504,0.1,4,11,0.05901836430428817,False
0.3,504,0.1,4,12,0.03916807272473802,False
0.3,504,0.1,5,0,0.08114024900336178,False
0.3,504,0.1,5,1,0.09921413518120992,False
0.3,504,0.1,5,2,0.07055614350392012,False
0.3,504,0.1,5,3,0.06310189884708921,False
0.3,504,0.1,5,4,0.07037468070204728,False
0.3,504,0.1,5,5,0.07341834746110544,False
0.3,504,0.1,5,6,0.0785143467321575,False
0.3,504,0.1,5,7,0.08296674906710509,False
0.3,504,0.1,5,8,0.05715744765935196,False
0.3,504,0.1,5,9,0.05482332390469646,False
0.3,504,0.1,5,10,0.07151446232232445,False
0.3,504,0.1,5,11,0.06840847003169896,False
0.3,504,0.1,6,0,0.11581874465058556,True
0.3,504,0.1,6,1,0.08441911980320344,False
0.3,504,0.1,6,2,0.11569834005253349,True
0.3,504,0.1,6,3,0.09784134420469034,False
0.3,504,0.1,6,4,0.12134520306893747,True
0.3,504,0.1,6,5,0.06580543293733299,False
0.3,504,0.1,6,6,0.07660240896137022,False
0.3,504,0.1,6,7,0.089545547791288,False
0.3,504,0.1,6,8,0.10495358521490832,True
0.3,504,0.1,6,9,0.10056946244740933,True
0.3,504,0.1,6,10,0.09286407952410242,False
0.3,504,0.1,6,11,0.09157603357496785,False
0.3,504,0.1,7,0,0.01840297586506645,False
0.3,504,0.1,7,1,0.0176863343321066,False
0.3,504,0.1,7,2,0.014038876080052479,False
0.3,504,0.1,7,3,0.03904701835281933,False
0.3,504,0.1,7,4,0.04879392783968096,False
0.3,504,0.1,7,5,0.03226454812886581,False
0.3,504,0.1,7,6,0.024008888054538408,False
0.3,504,0.1,7,7,0.02428658186477362,False
0.3,504,0.1,7,8,0.035134557590968424,False
0.3,504,0.1,7,9,0.02841603694453138,False
0.3,504,0.1,7,10,0.02415699046950618,False
0.3,504,0.1,7,11,0.0339755016234307,False
0.3,504,0.1,7,12,0.029408412042347634,False
0.3,504,0.1,8,0,0.05593370028200932,False
0.3,504,0.1,8,1,0.034342695545798135,False
0.3,504,0.1,8,2,0.055452789995859314,False
0.3,504,0.1,8,3,0.057737425877008836,False
0.3,504,0.1,8,4,0.07132895219930248,False
0.3,504,0.1,8,5,0.04948606267353946,False
0.3,504,0.2,1,0,0.040446173199504706,False
0.3,504,0.2,1,1,0.031191903080913647,False
0.3,504,0.2,1,2,0.04354810132720213,False
0.3,504,0.2,1,3,0.059133736981323654,False
0.3,504,0.2,1,4,0.059919494693116256,False
0.3,504,0.2,1,5,0.06900535840391535,False
0.3,504,0.2,1,6,0.05307833752109814,False
0.3,504,0.2,1,7,0.04095244420220756,False
0.3,504,0.2,1,8,0.04775220790141817,False
0.3,504,0.2,1,9,0.056059209118988464,False
0.3,504,0.2,1,10,0.040807507932507335,False
0.3,504,0.2,1,11,0.04061488441873735,False
0.3,504,0.2,2,0,0.07830250416354749,False
0.3,504,0.2,2,1,0.06032683122627696,False
0.3,504,0.2,2,2,0.06688692144084613,False
0.3,504,0.2,2,3,0.06316630641209417,False
0.3,504,0.2,2,4,0.08498351128271359,False
0.3,504,0.2,2,5,0.07538449845716885,False
0.3,504,0.2,2,6,0.07262017517525077,False
0.3,504,0.2,2,7,0.06980995929579703,False
0.3,504,0.2,2,8,0.07748321739100826,False
0.3,504,0.2,2,9,0.07110134271571414,False
0.3,504,0.2,2,10,0.0747387840076982,False
0.3,504,0.2,2,11,0.10673919358557284,False
0.3,504,0.2,2,12,0.07517517924459169,False
0.3,504,0.2,3,0,0.07915581990191163,False
0.3,504,0.2,3,1,0.0768877525288917,False
0.3,504,0.2,3,2,0.07450123761157226,False
0.3,504,0.2,3,3,0.12036322960528889,False
0.3,504,0.2,3,4,0.13438804865580523,False
0.3,504,0.2,3,5,0.11711413290788601,False
0.3,504,0.2,3,6,0.15246918130099762,False
0.3,504,0.2,3,7,0.09949313804803857,False
0.3,504,0.2,3,8,0.09898756719331209,False
0.3,504,0.2,3,9,0.09782539104943143,False
0.3,504,0.2,3,10,0.04952851711840465,False
0.3,504,0.2,3,11,0.1620270640042761,False
0.3,504,0.2,3,12,0.12458694273563431,False
0.3,504,0.2,4,0,0.1333358072110782,False
0.3,504,0.2,4,1,0.194847749205702,False
0.3,504,0.2,4,2,0.15311295226975943,False
0.3,504,0.2,4,3,0.18442022713113151,False
0.3,504,0.2,4,4,0.14879374700647666,False
0.3,504,0.2,4,5,0.14131553020757617,False
0.3,504,0.2,4,6,0.12676657008243106,False
0.3,504,0.2,4,7,0.12618262135893957,False
0.3,504,0.2,4,8,0.10670387785723866,False
0.3,504,0.2,4,9,0.1540028903535369,False
0.3,504,0.2,4,10,0.12886811003791981,False
0.3,504,0.2,4,11,0.14998577065382498,False
0.3,504,0.2,4,12,0.14303533758244075,False
0.3,504,0.2,5,0,0.15584933875586296,False
0.3,504,0.2,5,1,0.23925596294377433,True
0.3,504,0.2,5,2,0.2416270385665654,True
0.3,504,0.2,5,3,0.10517554511375374,False
0.3,504,0.2,5,4,0.10739113619141744,False
0.3,504,0.2,5,5,0.1563016827536615,False
0.3,504,0.2,5,6,0.2024412864618876,True
0.3,504,0.2,5,7,0.1405622792688968,False
0.3,504,0.2,5,8,0.18771885243942737,False
0.3,504,0.2,5,9,0.10456842715239113,False
0.3,504,0.2,5,10,0.10664286343261888,False
0.3,504,0.2,5,11,0.11478236321157644,False
0.3,504,0.2,6,0,0.07977186044884295,False
0.3,504,0.2,6,1,0.08403291962177843,False
0.3,504,0.2,6,2,0.056381951009632704,False
0.3,504,0.2,6,3,0.09108418135209408,False
0.3,504,0.2,6,4,0.04334453352131401,False
0.3,504,0.2,6,5,0.05308552358736819,False
0.3,504,0.2,6,6,0.07615587413432093,False
0.3,504,0.2,6,7,0.1033569990565021,False
0.3,504,0.2,6,8,0.06978523752231999,False
0.3,504,0.2,6,9,0.06490378812380403,False
0.3,504,0.2,6,10,0.06353154364613012,False
0.3,504,0.2,6,11,0.04754612812292286,False
0.3,504,0.2,7,0,0.13209727333967491,False
0.3,504,0.2,7,1,0.1453548104330555,False
0.3,504,0.2,7,2,0.12385859085675303,False
0.3,504,0.2,7,3,0.14557801188914005,False
0.3,504,0.2,7,4,0.18608950820948333,False
0.3,504,0.2,7,5,0.13481602406712148,False
0.3,504,0.2,7,6,0.10216057000256616,False
0.3,504,0.2,7,7,0.10410845532772109,False
0.3,504,0.2,7,8,0.1044989626242081,False
0.3,504,0.2,7,9,0.13846783540362217,False
0.3,504,0.2,7,10,0.09993292223494134,False
