lam,LB,n1,tc_bps,label,Ann.Ret,Sharpe,CVaR(5%),MDD,MDD_abs,Calmar,HHI,Turnover
0.5,504,0.2,0,"DFL-MDD (LB=504, n1=0.2)",0.0785985824970048,0.5114204205495266,0.024897475818388838,0.3613239576665336,0.38889969035921,0.21752939656381878,0.46615769133197116,0.6404922021844023
0.5,504,0.2,5,"DFL-MDD (LB=504, n1=0.2)",0.07450454978674381,0.4902792711086997,0.024906754854252942,0.3616508554026159,0.3892279772666005,0.20601236981231172,0.46615769133197116,0.6404922021844023
0.5,504,0.2,10,"DFL-MDD (LB=504, n1=0.2)",0.07042424100985123,0.4691073186391973,0.02492014514959749,0.3619777531386955,0.3895562641739909,0.19455405858440158,0.46615769133197116,0.6404922021844023
0.5,504,0.2,20,"DFL-MDD (LB=504, n1=0.2)",0.062304634559572136,0.4266839145318149,0.024957953371139516,0.36263154861084673,0.3902128379887718,0.17181250440306362,0.46615769133197116,0.6404922021844023
0.5,504,0.2,40,"DFL-MDD (LB=504, n1=0.2)",0.046228346870088144,0.3416101427518899,0.025033569814218146,0.3642800717469365,0.391908987289623,0.12690330996067337,0.46615769133197116,0.6404922021844023
0.5,504,0.3,0,"DFL-MDD (LB=504, n1=0.3)",0.020923823543653297,0.2054107616689127,0.025861682896175044,0.3338499606857722,0.36041217801524855,0.06267433278831469,0.5345547740299905,0.6389393386072484
0.5,504,0.3,5,"DFL-MDD (LB=504, n1=0.3)",0.01705806327513626,0.184196332231534,0.025878921886187886,0.33404933809489556,0.36058152557609324,0.05106450252921625,0.5345547740299905,0.6389393386072484
0.5,504,0.3,10,"DFL-MDD (LB=504, n1=0.3)",0.013205184809005788,0.1629699315592047,0.025899974011152946,0.3342487155040161,0.3607508731369381,0.03950706223401004,0.5345547740299905,0.6389393386072484
0.5,504,0.3,20,"DFL-MDD (LB=504, n1=0.3)",0.005537923898036867,0.12049455626320799,0.025942078261081063,0.3346474703222477,0.36108956825862726,0.016548530580701205,0.5345547740299905,0.6389393386072484
0.5,504,0.3,40,"DFL-MDD (LB=504, n1=0.3)",-0.009643654339549612,0.035546971928545126,0.026042029671700523,0.3418607747598543,0.3617669585020058,-0.02820930346133751,0.5345547740299905,0.6389393386072484
0.5,504,0.4,0,"DFL-MDD (LB=504, n1=0.4)",0.07692009621910167,0.4678899072936037,0.02897485235130179,0.4233125430214483,0.4601236553234643,0.1817099385997483,0.5012993932484157,0.6747490469437878
0.5,504,0.4,5,"DFL-MDD (LB=504, n1=0.4)",0.07261416997707038,0.44810091481400016,0.028998096052170817,0.423609878619513,0.46041630262338795,0.17141755569196906,0.5012993932484157,0.6747490469437878
0.5,504,0.4,10,"DFL-MDD (LB=504, n1=0.4)",0.06832340591722352,0.4282943261175841,0.02902133975303931,0.42390721421757543,0.4607089499233119,0.16117537897347078,0.5012993932484157,0.6747490469437878
0.5,504,0.4,20,"DFL-MDD (LB=504, n1=0.4)",0.05978717821670698,0.38863910833056825,0.029079764361685214,0.4245018854136932,0.4612942445231597,0.14084078365013156,0.5012993932484157,0.6747490469437878
0.5,504,0.4,40,"DFL-MDD (LB=504, n1=0.4)",0.042894628482355035,0.30923588553240233,0.02921259993067805,0.4256912278058991,0.4624648337228554,0.10076465210092861,0.5012993932484157,0.6747490469437878
0.5,1260,0.1,0,"DFL-MDD (LB=1260, n1=0.1)",0.07166355911676114,0.49354794653669815,0.024846798140296125,0.30179763454362785,0.32446747212823,0.23745566860185544,0.3111193883849242,0.630607704884217
0.5,1260,0.1,5,"DFL-MDD (LB=1260, n1=0.1)",0.06765867647965362,0.4714574570154781,0.024858930035258544,0.30190381176338393,0.32455364803647513,0.22410673141904613,0.3111193883849242,0.630607704884217
0.5,1260,0.1,10,"DFL-MDD (LB=1260, n1=0.1)",0.0636673205336904,0.4493446256769902,0.02487106193022055,0.30200998898313836,0.32463982394472,0.2108119692563011,0.3111193883849242,0.630607704884217
0.5,1260,0.1,20,"DFL-MDD (LB=1260, n1=0.1)",0.05572502503768151,0.4050639465138201,0.024895325720143212,0.30222234342264287,0.32481217576121013,0.18438420001698688,0.3111193883849242,0.630607704884217
0.5,1260,0.1,40,"DFL-MDD (LB=1260, n1=0.1)",0.040000960028619525,0.316366888919929,0.024943853299983085,0.3026470523016322,0.3251568793941899,0.13217032748607663,0.3111193883849242,0.630607704884217
0.5,1260,0.2,0,"DFL-MDD (LB=1260, n1=0.2)",0.07071029543729934,0.4868889560017163,0.024539593700197503,0.31375017894940915,0.33947033613919286,0.22537133094723727,0.43861473514783017,0.5592626899847378
0.5,1260,0.2,5,"DFL-MDD (LB=1260, n1=0.2)",0.06716085192195198,0.46734829063754896,0.02455439619046064,0.3142993775301628,0.34020831855312306,0.21368432997974432,0.43861473514783017,0.5592626899847378
