lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
0.3,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.91,0.1272,4.23,77.47,116.35,-0.0118,0.7263,0.0848
0.3,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.6,0.1406,4.38,77.47,116.35,-0.0077,0.7347,0.0892
0.3,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",5.68,0.3315,4.58,77.47,116.35,0.0733,0.7402,0.0816
0.3,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.02,0.2277,4.67,77.47,116.35,0.0261,0.8188,0.0885
0.3,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",2.54,0.2429,4.66,77.47,116.35,0.0328,0.8231,0.0952
0.3,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.57,0.2115,4.51,77.47,116.35,0.0202,0.7292,0.0882
0.3,40,PTO-MVO,PTO-MVO (LB=252),7.15,0.4838,2.57,35.99,39.15,0.1987,0.1859,0.0803
0.3,40,PTO-MVO,PTO-MVO (LB=504),5.57,0.3923,2.63,37.26,40.54,0.1495,0.185,0.0544
0.3,40,DFL-MVO,DFL-MVO (LB=252),9.42,0.5268,3.11,37.21,45.43,0.2532,1.0,0.7312
0.3,40,DFL-MVO,DFL-MVO (LB=504),10.01,0.6071,2.73,27.44,29.49,0.3648,1.0,0.3871
0.3,40,Benchmark,EW,11.72,0.6465,3.02,38.74,42.75,0.3026,0.1,0.0327
0.3,40,Benchmark,GMV (LB=252),7.51,0.5051,2.56,34.84,37.86,0.2154,0.1792,0.0797
0.3,40,Benchmark,hist-MVO (LB=252),10.07,0.6118,2.77,33.71,36.79,0.2989,0.2261,0.2701
0.3,40,Benchmark,GMV (LB=504),6.14,0.4247,2.61,36.17,39.32,0.1699,0.1838,0.0531
0.3,40,Benchmark,hist-MVO (LB=504),6.96,0.4553,2.76,33.66,36.5,0.2069,0.1979,0.1495
0.5,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",7.87,0.5343,2.45,30.97,33.28,0.2543,0.3412,0.5163
0.5,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",8.14,0.5257,2.6,33.17,36.15,0.2453,0.4312,0.5536
0.5,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",2.61,0.2293,3.02,42.34,49.7,0.0617,0.5181,0.6561
0.5,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",5.26,0.385,2.44,33.1,35.58,0.1588,0.731,0.4328
0.5,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",6.83,0.4517,2.65,39.16,42.23,0.1743,0.3029,0.5518
0.5,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",7.86,0.5114,2.49,36.13,38.89,0.2175,0.4662,0.6405
0.5,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",2.09,0.2054,2.59,33.38,36.04,0.0627,0.5346,0.6389
0.5,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",7.69,0.4679,2.9,42.33,46.01,0.1817,0.5013,0.6747
0.5,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.46,0.1703,4.25,77.47,116.35,0.0059,0.7131,0.0758
0.5,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.65,0.2112,4.43,77.47,116.35,0.0213,0.8026,0.0707
0.5,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.51,0.1401,4.23,77.47,116.35,-0.0066,0.7263,0.0848
0.5,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.17,0.1539,4.38,77.47,116.35,-0.0022,0.7347,0.0892
0.5,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",6.09,0.3431,4.58,77.47,116.35,0.0786,0.7402,0.0816
0.5,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.45,0.2401,4.67,77.47,116.35,0.0317,0.8188,0.0885
